"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"5/21/2021 12 a.m. PDT",4415,26,2048,715,89,9642,877,2282
CAL,"5/21/2021 1 a.m. PDT",4156,26,1820,749,89,9664,788,2282
CAL,"5/21/2021 2 a.m. PDT",3793,26,1690,708,89,10134,758,2280
CAL,"5/21/2021 3 a.m. PDT",3265,26,1671,706,88,9511,739,2282
CAL,"5/21/2021 4 a.m. PDT",3146,24,1660,765,88,9397,790,2283
CAL,"5/21/2021 5 a.m. PDT",2862,24,2006,757,89,9742,834,2285
CAL,"5/21/2021 6 a.m. PDT",2801,410,2305,746,88,9863,806,2284
CAL,"5/21/2021 7 a.m. PDT",3119,5002,2209,741,87,7992,763,2283
CAL,"5/21/2021 8 a.m. PDT",4196,9561,1372,639,87,6421,677,2283
CAL,"5/21/2021 9 a.m. PDT",5146,11124,779,576,88,5407,621,2283
CAL,"5/21/2021 10 a.m. PDT",5092,11914,461,573,88,5710,600,2283
CAL,"5/21/2021 11 a.m. PDT",4971,10896,285,533,88,6038,597,2284
CAL,"5/21/2021 12 p.m. PDT",5039,11434,271,529,88,6278,597,2284
CAL,"5/21/2021 1 p.m. PDT",4977,10429,188,513,88,5946,585,2286
CAL,"5/21/2021 2 p.m. PDT",4806,10316,525,602,88,5612,591,2281
CAL,"5/21/2021 3 p.m. PDT",4782,10196,909,665,88,5397,589,2283
CAL,"5/21/2021 4 p.m. PDT",4442,10192,1258,673,88,6265,593,2283
CAL,"5/21/2021 5 p.m. PDT",4359,8439,1928,618,89,7610,607,2285
CAL,"5/21/2021 6 p.m. PDT",3677,7076,2771,633,89,8106,629,2284
CAL,"5/21/2021 7 p.m. PDT",3261,1935,3882,867,89,9795,719,2283
CAL,"5/21/2021 8 p.m. PDT",3635,1542,3813,868,88,10757,966,2283
CAL,"5/21/2021 9 p.m. PDT",3065,24,4267,826,88,11207,941,2284
CAL,"5/21/2021 10 p.m. PDT",3413,24,3429,1060,88,10263,936,2280
CAL,"5/21/2021 11 p.m. PDT",3712,24,2507,952,88,9717,895,2281
CAL,"5/22/2021 12 a.m. PDT",3377,24,2583,853,88,9090,865,2280
CAL,"5/22/2021 1 a.m. PDT",3109,24,2431,852,88,9479,796,2282
CAL,"5/22/2021 2 a.m. PDT",3166,24,2083,755,88,8784,740,2281
CAL,"5/22/2021 3 a.m. PDT",3237,24,1903,765,88,8685,678,2281
CAL,"5/22/2021 4 a.m. PDT",3026,24,2057,799,88,8736,640,2279
CAL,"5/22/2021 5 a.m. PDT",3254,23,2147,871,89,8716,628,2282
CAL,"5/22/2021 6 a.m. PDT",3459,408,2050,788,87,7956,627,2280
CAL,"5/22/2021 7 a.m. PDT",3506,5313,1456,769,89,6293,625,2282
CAL,"5/22/2021 8 a.m. PDT",3275,8721,970,648,88,5241,610,2283
CAL,"5/22/2021 9 a.m. PDT",2925,9768,545,626,88,5235,593,2282
CAL,"5/22/2021 10 a.m. PDT",2525,9548,521,554,88,5018,598,2282
CAL,"5/22/2021 11 a.m. PDT",2659,9413,532,564,88,5069,597,2282
CAL,"5/22/2021 12 p.m. PDT",2799,9261,455,547,87,4807,604,2282
CAL,"5/22/2021 1 p.m. PDT",2585,9139,590,741,88,4663,600,2281
CAL,"5/22/2021 2 p.m. PDT",2627,9608,607,747,87,4758,595,2281
CAL,"5/22/2021 3 p.m. PDT",3282,9020,712,652,87,5230,597,2283
CAL,"5/22/2021 4 p.m. PDT",4076,8597,1131,583,88,5189,587,2281
CAL,"5/22/2021 5 p.m. PDT",4718,7543,1658,697,87,5842,590,2281
CAL,"5/22/2021 6 p.m. PDT",4430,7141,1875,708,88,7156,596,2282
CAL,"5/22/2021 7 p.m. PDT",4314,2331,3510,923,88,7736,636,2282
CAL,"5/22/2021 8 p.m. PDT",3402,1845,4571,939,88,9395,723,2283
CAL,"5/22/2021 9 p.m. PDT",3116,26,4652,933,88,9711,780,2281
CAL,"5/22/2021 10 p.m. PDT",3279,25,4304,899,89,9289,784,2282
CAL,"5/22/2021 11 p.m. PDT",3255,25,3822,762,89,8776,766,2281
CAL,"5/23/2021 12 a.m. PDT",3573,25,2955,762,88,7914,731,2282
CAL,"5/23/2021 1 a.m. PDT",4169,25,2643,701,88,6869,691,2281
CAL,"5/23/2021 2 a.m. PDT",4077,25,2247,739,88,6502,664,2280
CAL,"5/23/2021 3 a.m. PDT",3309,25,2208,751,88,6579,631,2282
CAL,"5/23/2021 4 a.m. PDT",3324,23,2186,753,88,6500,619,2282
CAL,"5/23/2021 5 a.m. PDT",2742,23,2202,724,89,6993,618,2282
CAL,"5/23/2021 6 a.m. PDT",3020,522,2312,699,88,6190,619,2280
CAL,"5/23/2021 7 a.m. PDT",2685,5596,1812,666,88,3824,616,2283
CAL,"5/23/2021 8 a.m. PDT",2724,7508,844,602,88,4127,596,2281
CAL,"5/23/2021 9 a.m. PDT",2606,8626,823,592,87,3984,596,2280
CAL,"5/23/2021 10 a.m. PDT",2533,8543,862,581,76,3788,595,2281
CAL,"5/23/2021 11 a.m. PDT",2639,8813,743,571,76,3845,594,2282
CAL,"5/23/2021 12 p.m. PDT",2408,8978,777,573,75,3829,593,2282
CAL,"5/23/2021 1 p.m. PDT",2279,9163,663,755,77,3848,593,2283
CAL,"5/23/2021 2 p.m. PDT",2301,9140,818,587,87,3743,592,2281
CAL,"5/23/2021 3 p.m. PDT",2546,9537,878,631,87,3693,595,2283
CAL,"5/23/2021 4 p.m. PDT",2877,9089,1145,675,86,4105,591,2281
CAL,"5/23/2021 5 p.m. PDT",2964,8445,1241,669,87,5451,596,2283
CAL,"5/23/2021 6 p.m. PDT",3172,7458,2031,586,88,5918,608,2283
CAL,"5/23/2021 7 p.m. PDT",3586,2689,3501,874,88,7519,656,2281
CAL,"5/23/2021 8 p.m. PDT",3792,96,4449,846,88,8788,705,2280
CAL,"5/23/2021 9 p.m. PDT",3671,23,4288,863,88,9036,756,2280
CAL,"5/23/2021 10 p.m. PDT",3466,24,3688,823,88,8000,763,2280
CAL,"5/23/2021 11 p.m. PDT",3119,24,3035,805,89,7582,748,2280
CAL,"5/24/2021 12 a.m. PDT",3006,24,2720,703,88,6591,706,2279
CAL,"5/24/2021 1 a.m. PDT",3006,24,1902,750,88,5881,663,2279
CAL,"5/24/2021 2 a.m. PDT",3007,24,1860,738,88,5769,628,2280
CAL,"5/24/2021 3 a.m. PDT",2934,24,1868,738,88,5670,616,2279
CAL,"5/24/2021 4 a.m. PDT",2904,24,1871,737,88,5786,615,2277
CAL,"5/24/2021 5 a.m. PDT",2574,24,2278,808,88,6480,625,2280
CAL,"5/24/2021 6 a.m. PDT",1914,534,2388,774,88,7049,657,2281
CAL,"5/24/2021 7 a.m. PDT",1364,5723,2293,760,87,5258,661,2280
CAL,"5/24/2021 8 a.m. PDT",1240,10326,1895,632,88,4798,628,2280
CAL,"5/24/2021 9 a.m. PDT",963,11653,1571,614,87,4557,620,2281
CAL,"5/24/2021 10 a.m. PDT",945,11743,1247,558,84,4880,618,2283
CAL,"5/24/2021 11 a.m. PDT",913,12519,860,614,86,5188,609,2283
CAL,"5/24/2021 12 p.m. PDT",760,13095,1313,592,86,4734,610,2283
CAL,"5/24/2021 1 p.m. PDT",645,13756,1485,571,87,4963,609,2282
CAL,"5/24/2021 2 p.m. PDT",676,13668,1794,577,87,5234,618,2280
CAL,"5/24/2021 3 p.m. PDT",933,13623,1924,667,88,5746,621,2284
CAL,"5/24/2021 4 p.m. PDT",1287,12879,2075,614,87,6523,631,2282
CAL,"5/24/2021 5 p.m. PDT",1994,11868,2346,618,86,7472,654,2283
CAL,"5/24/2021 6 p.m. PDT",2658,8695,2910,570,88,8797,680,2280
CAL,"5/24/2021 7 p.m. PDT",3376,2719,4180,748,88,12073,743,2281
CAL,"5/24/2021 8 p.m. PDT",3778,92,4444,817,88,13272,837,2283
CAL,"5/24/2021 9 p.m. PDT",3779,18,4280,1014,88,12711,873,2282
CAL,"5/24/2021 10 p.m. PDT",4194,21,3650,919,89,11013,882,2280
CAL,"5/24/2021 11 p.m. PDT",4100,20,2989,733,88,9018,814,2282
CAL,"5/25/2021 12 a.m. PDT",4080,21,2337,848,88,9145,744,2282
CAL,"5/25/2021 1 a.m. PDT",4267,400,1906,710,88,8369,678,2281
CAL,"5/25/2021 2 a.m. PDT",4101,364,1641,635,88,8178,628,2280
CAL,"5/25/2021 3 a.m. PDT",4183,345,1568,670,88,7815,605,2279
CAL,"5/25/2021 4 a.m. PDT",4181,319,1494,719,88,7731,606,2279
CAL,"5/25/2021 5 a.m. PDT",3988,319,1965,750,89,7841,606,2279
CAL,"5/25/2021 6 a.m. PDT",3809,890,2046,735,88,8295,607,2278
CAL,"5/25/2021 7 a.m. PDT",3487,6066,1880,727,87,6860,607,2279
CAL,"5/25/2021 8 a.m. PDT",3371,9778,1831,626,88,5802,607,2280
CAL,"5/25/2021 9 a.m. PDT",3328,11356,1358,600,87,5983,609,2281
CAL,"5/25/2021 10 a.m. PDT",3157,12366,954,608,87,5908,606,2282
CAL,"5/25/2021 11 a.m. PDT",3212,13248,567,611,87,6913,611,2281
CAL,"5/25/2021 12 p.m. PDT",2913,13469,489,612,88,7040,619,2280
CAL,"5/25/2021 1 p.m. PDT",2656,14439,1145,626,87,6987,654,2280
CAL,"5/25/2021 2 p.m. PDT",2820,12122,1458,902,88,6425,754,2280
CAL,"5/25/2021 3 p.m. PDT",3316,12849,1185,867,87,7293,795,2281
CAL,"5/25/2021 4 p.m. PDT",3720,11325,1862,650,87,8161,697,2276
CAL,"5/25/2021 5 p.m. PDT",4242,9624,2638,594,88,9047,666,2277
CAL,"5/25/2021 6 p.m. PDT",4063,6126,3451,847,87,10639,669,2279
CAL,"5/25/2021 7 p.m. PDT",3788,2467,4458,734,86,12515,787,2281
CAL,"5/25/2021 8 p.m. PDT",3703,720,4593,823,87,14254,942,2280
CAL,"5/25/2021 9 p.m. PDT",3585,621,3918,853,87,14047,940,2280
CAL,"5/25/2021 10 p.m. PDT",3399,582,2871,850,88,12813,928,2281
CAL,"5/25/2021 11 p.m. PDT",3691,530,2658,755,88,11464,1010,2284
CAL,"5/26/2021 12 a.m. PDT",3950,476,2012,690,87,10748,840,2281
CAL,"5/26/2021 1 a.m. PDT",4008,20,1471,670,88,9579,770,2280
CAL,"5/26/2021 2 a.m. PDT",3816,20,1084,649,88,9011,697,2277
