Datetime,Solar generation (MWh)
07/12/2018 14H,1475
07/12/2018 15H,4721
07/12/2018 16H,6748
07/12/2018 17H,7617
07/12/2018 18H,7646
07/12/2018 19H,9108
07/12/2018 20H,9550
07/12/2018 21H,9140
07/12/2018 22H,8942
07/12/2018 23H,8229
07/13/2018 00H,6773
07/13/2018 01H,4713
07/13/2018 02H,1626
07/13/2018 03H,79
07/13/2018 04H,6
07/13/2018 05H,149
07/13/2018 06H,149
07/13/2018 07H,149
07/13/2018 08H,149
07/13/2018 09H,149
07/13/2018 10H,148
07/13/2018 11H,147
07/13/2018 12H,145
07/13/2018 13H,64
07/13/2018 14H,2005
07/13/2018 15H,5730
07/13/2018 16H,8253
07/13/2018 17H,9615
07/13/2018 18H,10502
07/13/2018 19H,11008
07/13/2018 20H,10574
07/13/2018 21H,10343
07/13/2018 22H,9685
07/13/2018 23H,8778
07/14/2018 00H,7662
07/14/2018 01H,5803
07/14/2018 02H,2075
07/14/2018 03H,88
07/14/2018 04H,7
07/14/2018 05H,7
07/14/2018 06H,6
07/14/2018 07H,6
07/14/2018 08H,5
07/14/2018 09H,4
07/14/2018 10H,3
07/14/2018 11H,3
07/14/2018 12H,3
07/14/2018 13H,50
07/14/2018 14H,2562
07/14/2018 15H,6732
07/14/2018 16H,8784
07/14/2018 17H,10172
07/14/2018 18H,10896
07/14/2018 19H,11015
07/14/2018 20H,10628
07/14/2018 21H,10375
07/14/2018 22H,9650
07/14/2018 23H,9426
07/15/2018 00H,8151
07/15/2018 01H,5977
07/15/2018 02H,2307
07/15/2018 03H,1941
07/15/2018 04H,7
07/15/2018 05H,6
07/15/2018 06H,5
07/15/2018 07H,5
07/15/2018 08H,4
07/15/2018 09H,4
07/15/2018 10H,4
07/15/2018 11H,4
07/15/2018 12H,4
07/15/2018 13H,20
07/15/2018 14H,2110
07/15/2018 15H,5651
07/15/2018 16H,7830
07/15/2018 17H,8764
07/15/2018 18H,9757
07/15/2018 19H,10016
07/15/2018 20H,10469
07/15/2018 21H,10595
07/15/2018 22H,10001
07/15/2018 23H,9386
07/16/2018 00H,8429
07/16/2018 01H,6025
07/16/2018 02H,2193
07/16/2018 03H,1899
07/16/2018 04H,4
07/16/2018 05H,5
07/16/2018 06H,4
07/16/2018 07H,3
07/16/2018 08H,3
07/16/2018 09H,3
07/16/2018 10H,3
07/16/2018 11H,3
07/16/2018 12H,3
07/16/2018 13H,5
07/16/2018 14H,2207
07/16/2018 15H,6086
07/16/2018 16H,8147
07/16/2018 17H,9328
07/16/2018 18H,10189
07/16/2018 19H,10441
07/16/2018 20H,10752
07/16/2018 21H,10873
07/16/2018 22H,10645
07/16/2018 23H,9869
07/17/2018 00H,8875
07/17/2018 01H,6445
07/17/2018 02H,2314
07/17/2018 03H,89
07/17/2018 04H,5
07/17/2018 05H,7
07/17/2018 06H,5
07/17/2018 07H,5
07/17/2018 08H,5
07/17/2018 09H,5
07/17/2018 10H,4
07/17/2018 11H,5
07/17/2018 12H,5
07/17/2018 13H,15
07/17/2018 14H,2311
07/17/2018 15H,6158
07/17/2018 16H,8652
07/17/2018 17H,10135
07/17/2018 18H,10910
07/17/2018 19H,11305
07/17/2018 20H,10482
07/17/2018 21H,10811
07/17/2018 22H,10554
07/17/2018 23H,9914
07/18/2018 00H,8436
07/18/2018 01H,6409
07/18/2018 02H,2268
07/18/2018 03H,96
07/18/2018 04H,5
07/18/2018 05H,7
07/18/2018 06H,6
07/18/2018 07H,5
07/18/2018 08H,4
07/18/2018 09H,5
07/18/2018 10H,4
07/18/2018 11H,4
07/18/2018 12H,4
07/18/2018 13H,32
07/18/2018 14H,1669
07/18/2018 15H,4351
07/18/2018 16H,5988
07/18/2018 17H,6884
07/18/2018 18H,8399
07/18/2018 19H,9309
07/18/2018 20H,9820
07/18/2018 21H,10026
07/18/2018 22H,9753
07/18/2018 23H,8852
07/19/2018 00H,7700
07/19/2018 01H,4950
07/19/2018 02H,1929
07/19/2018 03H,70
07/19/2018 04H,23
07/19/2018 05H,6
07/19/2018 06H,5
07/19/2018 07H,5
07/19/2018 08H,5
07/19/2018 09H,5
07/19/2018 10H,5
07/19/2018 11H,4
07/19/2018 12H,4
07/19/2018 13H,37
07/19/2018 14H,2193
07/19/2018 15H,6269
07/19/2018 16H,8920
07/19/2018 17H,9960
07/19/2018 18H,10856
07/19/2018 19H,11262
07/19/2018 20H,11215
07/19/2018 21H,11035
07/19/2018 22H,10359
07/19/2018 23H,9563
07/20/2018 00H,8780
07/20/2018 01H,6250
07/20/2018 02H,1940
07/20/2018 03H,74
07/20/2018 04H,8
07/20/2018 05H,7
07/20/2018 06H,7
07/20/2018 07H,6
07/20/2018 08H,6
07/20/2018 09H,6
07/20/2018 10H,5
07/20/2018 11H,5
07/20/2018 12H,5
07/20/2018 13H,-5
07/20/2018 14H,2280
07/20/2018 15H,6284
07/20/2018 16H,9075
07/20/2018 17H,10425
07/20/2018 18H,11021
07/20/2018 19H,11072
07/20/2018 20H,11151
07/20/2018 21H,10523
07/20/2018 22H,10032
07/20/2018 23H,9433
07/21/2018 00H,8317
07/21/2018 01H,5809
07/21/2018 02H,1873
07/21/2018 03H,1532
07/21/2018 04H,6
07/21/2018 05H,6
07/21/2018 06H,5
07/21/2018 07H,5
07/21/2018 08H,4
07/21/2018 09H,4
07/21/2018 10H,4
07/21/2018 11H,4
07/21/2018 12H,4
07/21/2018 13H,-6
07/21/2018 14H,1729
07/21/2018 15H,4693
07/21/2018 16H,6960
07/21/2018 17H,7652
07/21/2018 18H,8242
07/21/2018 19H,8442
07/21/2018 20H,8625
07/21/2018 21H,8825
07/21/2018 22H,8415
07/21/2018 23H,7911
07/22/2018 00H,7372
07/22/2018 01H,5500
07/22/2018 02H,1967
07/22/2018 03H,163
07/22/2018 04H,63
07/22/2018 05H,63
07/22/2018 06H,6
07/22/2018 07H,6
07/22/2018 08H,5
07/22/2018 09H,5
07/22/2018 10H,5
07/22/2018 11H,4
07/22/2018 12H,4
07/22/2018 13H,25
07/22/2018 14H,2476
07/22/2018 15H,6286
07/22/2018 16H,9197
07/22/2018 17H,10347
07/22/2018 18H,10889
07/22/2018 19H,11130
07/22/2018 20H,11250
07/22/2018 21H,11144
07/22/2018 22H,10502
07/22/2018 23H,9992
07/23/2018 00H,8620
07/23/2018 01H,6439
07/23/2018 02H,2352
07/23/2018 03H,138
07/23/2018 04H,63
07/23/2018 05H,64
07/23/2018 06H,64
07/23/2018 07H,6
07/23/2018 08H,4
07/23/2018 09H,4
07/23/2018 10H,4
07/23/2018 11H,3
07/23/2018 12H,4
07/23/2018 13H,3
07/23/2018 14H,2611
07/23/2018 15H,7016
07/23/2018 16H,9262
07/23/2018 17H,10227
07/23/2018 18H,10932
07/23/2018 19H,11100
07/23/2018 20H,11021
07/23/2018 21H,10933
07/23/2018 22H,10436
07/23/2018 23H,9702
07/24/2018 00H,8451
07/24/2018 01H,6019
07/24/2018 02H,2081
07/24/2018 03H,75
07/24/2018 04H,3
07/24/2018 05H,69
07/24/2018 06H,12
07/24/2018 07H,9
07/24/2018 08H,11
07/24/2018 09H,9
07/24/2018 10H,9
07/24/2018 11H,10
07/24/2018 12H,11
07/24/2018 13H,24
07/24/2018 14H,2326
07/24/2018 15H,6586
07/24/2018 16H,9284
07/24/2018 17H,10310
07/24/2018 18H,10998
07/24/2018 19H,10874
07/24/2018 20H,10122
07/24/2018 21H,10044
07/24/2018 22H,10016
07/24/2018 23H,9421
07/25/2018 00H,7899
07/25/2018 01H,5774
07/25/2018 02H,1986
07/25/2018 03H,1653
07/25/2018 04H,14
07/25/2018 05H,12
07/25/2018 06H,12
07/25/2018 07H,13
07/25/2018 08H,14
07/25/2018 09H,12
07/25/2018 10H,10
07/25/2018 11H,11
07/25/2018 12H,12
07/25/2018 13H,7
07/25/2018 14H,2373
07/25/2018 15H,6818
07/25/2018 16H,9330
07/25/2018 17H,10423
07/25/2018 18H,11001
07/25/2018 19H,11242
07/25/2018 20H,10843
07/25/2018 21H,10738
07/25/2018 22H,10053
07/25/2018 23H,9010
07/26/2018 00H,8034
07/26/2018 01H,5800
07/26/2018 02H,1594
07/26/2018 03H,1237
07/26/2018 04H,9
07/26/2018 05H,8
07/26/2018 06H,8
07/26/2018 07H,8
07/26/2018 08H,7
07/26/2018 09H,5
07/26/2018 10H,6
07/26/2018 11H,6
07/26/2018 12H,5
07/26/2018 13H,1
07/26/2018 14H,1649
07/26/2018 15H,5527
07/26/2018 16H,8411
07/26/2018 17H,9687
07/26/2018 18H,10460
07/26/2018 19H,10894
07/26/2018 20H,10985
07/26/2018 21H,10407
07/26/2018 22H,10177
07/26/2018 23H,9311
07/27/2018 00H,8145
07/27/2018 01H,5781
07/27/2018 02H,1705
07/27/2018 03H,1408
07/27/2018 04H,7
07/27/2018 05H,6
07/27/2018 06H,7
07/27/2018 07H,6
07/27/2018 08H,4
07/27/2018 09H,5
07/27/2018 10H,5
07/27/2018 11H,5
07/27/2018 12H,4
07/27/2018 13H,5
07/27/2018 14H,1876
07/27/2018 15H,5624
07/27/2018 16H,8489
07/27/2018 17H,9810
07/27/2018 18H,10679
07/27/2018 19H,11097
07/27/2018 20H,11135
07/27/2018 21H,10450
07/27/2018 22H,9923
07/27/2018 23H,9273
07/28/2018 00H,8323
07/28/2018 01H,5641
07/28/2018 02H,1687
07/28/2018 03H,61
07/28/2018 04H,-3
07/28/2018 05H,7
07/28/2018 06H,6
07/28/2018 07H,7
07/28/2018 08H,5
07/28/2018 09H,5
07/28/2018 10H,5
07/28/2018 11H,4
07/28/2018 12H,5
07/28/2018 13H,5
07/28/2018 14H,1796
07/28/2018 15H,5518
07/28/2018 16H,8380
07/28/2018 17H,9875
07/28/2018 18H,10632
07/28/2018 19H,11068
07/28/2018 20H,10972
07/28/2018 21H,10741
07/28/2018 22H,10435
07/28/2018 23H,9510
07/29/2018 00H,8172
07/29/2018 01H,5456
07/29/2018 02H,1536
07/29/2018 03H,1254
07/29/2018 04H,6
07/29/2018 05H,6
07/29/2018 06H,5
07/29/2018 07H,4
07/29/2018 08H,4
07/29/2018 09H,5
07/29/2018 10H,4
07/29/2018 11H,5
07/29/2018 12H,5
07/29/2018 13H,5
07/29/2018 14H,1621
07/29/2018 15H,5596
07/29/2018 16H,7709
07/29/2018 17H,9401
07/29/2018 18H,9865
07/29/2018 19H,10115
07/29/2018 20H,9764
07/29/2018 21H,9270
07/29/2018 22H,8520
07/29/2018 23H,7715
07/30/2018 00H,7133
07/30/2018 01H,4496
07/30/2018 02H,1266
07/30/2018 03H,997
07/30/2018 04H,7
07/30/2018 05H,7
07/30/2018 06H,6
07/30/2018 07H,6
07/30/2018 08H,6
07/30/2018 09H,5
07/30/2018 10H,4
07/30/2018 11H,5
07/30/2018 12H,5
07/30/2018 13H,4
07/30/2018 14H,1327
07/30/2018 15H,4227
07/30/2018 16H,6669
07/30/2018 17H,8295
07/30/2018 18H,9444
07/30/2018 19H,9879
07/30/2018 20H,10000
07/30/2018 21H,9734
07/30/2018 22H,9018
07/30/2018 23H,8532
07/31/2018 00H,7615
07/31/2018 01H,5120
07/31/2018 02H,1356
07/31/2018 03H,1088
07/31/2018 04H,7
07/31/2018 05H,8
07/31/2018 06H,6
07/31/2018 07H,6
07/31/2018 08H,6
07/31/2018 09H,5
07/31/2018 10H,5
07/31/2018 11H,7
07/31/2018 12H,7
07/31/2018 13H,10
07/31/2018 14H,1430
07/31/2018 15H,4749
07/31/2018 16H,7351
07/31/2018 17H,8576
07/31/2018 18H,9135
07/31/2018 19H,9887
07/31/2018 20H,10117
07/31/2018 21H,9868
07/31/2018 22H,9568
07/31/2018 23H,8490
08/1/2018 00H,6681
08/1/2018 01H,4113
08/1/2018 02H,1398
08/1/2018 03H,1163
08/1/2018 04H,10
08/1/2018 05H,10
08/1/2018 06H,10
08/1/2018 07H,9
08/1/2018 08H,7
08/1/2018 09H,10
08/1/2018 10H,9
08/1/2018 11H,6
08/1/2018 12H,10
08/1/2018 13H,7
08/1/2018 14H,1648
08/1/2018 15H,5174
08/1/2018 16H,7893
08/1/2018 17H,9458
08/1/2018 18H,10578
08/1/2018 19H,10905
08/1/2018 20H,10413
08/1/2018 21H,10184
08/1/2018 22H,9793
08/1/2018 23H,8253
08/2/2018 00H,7494
08/2/2018 01H,5271
08/2/2018 02H,1421
08/2/2018 03H,1164
08/2/2018 04H,11
08/2/2018 05H,14
08/2/2018 06H,12
08/2/2018 07H,8
08/2/2018 08H,12
08/2/2018 09H,9
08/2/2018 10H,9
08/2/2018 11H,9
08/2/2018 12H,9
08/2/2018 13H,9
08/2/2018 14H,1626
08/2/2018 15H,5394
08/2/2018 16H,8006
08/2/2018 17H,9266
08/2/2018 18H,10015
08/2/2018 19H,9808
08/2/2018 20H,9651
08/2/2018 21H,10121
08/2/2018 22H,9629
08/2/2018 23H,8715
08/3/2018 00H,8281
08/3/2018 01H,5636
08/3/2018 02H,1730
08/3/2018 03H,59
08/3/2018 04H,19
08/3/2018 05H,12
08/3/2018 06H,11
08/3/2018 07H,11
08/3/2018 08H,11
08/3/2018 09H,10
08/3/2018 10H,9
08/3/2018 11H,12
08/3/2018 12H,10
08/3/2018 13H,7
08/3/2018 14H,2062
08/3/2018 15H,6572
08/3/2018 16H,9147
08/3/2018 17H,10378
08/3/2018 18H,10793
08/3/2018 19H,11216
08/3/2018 20H,11203
08/3/2018 21H,11119
08/3/2018 22H,10698
08/3/2018 23H,9968
08/4/2018 00H,8990
08/4/2018 01H,6550
08/4/2018 02H,1977
08/4/2018 03H,1681
08/4/2018 04H,10
08/4/2018 05H,8
08/4/2018 06H,8
08/4/2018 07H,11
08/4/2018 08H,5
08/4/2018 09H,5
08/4/2018 10H,5
08/4/2018 11H,4
08/4/2018 12H,4
08/4/2018 13H,4
08/4/2018 14H,1771
08/4/2018 15H,5805
08/4/2018 16H,8397
08/4/2018 17H,9745
08/4/2018 18H,10464
08/4/2018 19H,10815
08/4/2018 20H,10629
08/4/2018 21H,10590
08/4/2018 22H,10314
08/4/2018 23H,9687
08/5/2018 00H,8591
08/5/2018 01H,5922
08/5/2018 02H,1662
08/5/2018 03H,1351
08/5/2018 04H,6
08/5/2018 05H,6
08/5/2018 06H,6
08/5/2018 07H,6
08/5/2018 08H,5
08/5/2018 09H,5
08/5/2018 10H,5
08/5/2018 11H,5
08/5/2018 12H,4
08/5/2018 13H,4
08/5/2018 14H,2212
08/5/2018 15H,6929
08/5/2018 16H,9504
08/5/2018 17H,10712
08/5/2018 18H,11256
08/5/2018 19H,11481
08/5/2018 20H,11452
08/5/2018 21H,11319
08/5/2018 22H,11062
08/5/2018 23H,10385
