Datetime,Solar generation (MWh)
12/18/2018 16H,2980
12/18/2018 17H,6183
12/18/2018 18H,7129
12/18/2018 19H,7757
12/18/2018 20H,7930
12/18/2018 21H,7859
12/18/2018 22H,7347
12/18/2018 23H,5314
12/19/2018 00H,1443
12/19/2018 01H,1130
12/19/2018 02H,5
12/19/2018 03H,3
12/19/2018 04H,3
12/19/2018 05H,3
12/19/2018 06H,3
12/19/2018 07H,4
12/19/2018 08H,3
12/19/2018 09H,3
12/19/2018 10H,4
12/19/2018 11H,4
12/19/2018 12H,4
12/19/2018 13H,3
12/19/2018 14H,3
12/19/2018 15H,223
12/19/2018 16H,3555
12/19/2018 17H,7078
12/19/2018 18H,7835
12/19/2018 19H,7888
12/19/2018 20H,7710
12/19/2018 21H,7532
12/19/2018 22H,7488
12/19/2018 23H,5587
12/20/2018 00H,1434
12/20/2018 01H,1120
12/20/2018 02H,1
12/20/2018 03H,1
12/20/2018 04H,1
12/20/2018 05H,1
12/20/2018 06H,1
12/20/2018 07H,1
12/20/2018 08H,1
12/20/2018 09H,1
12/20/2018 10H,1
12/20/2018 11H,1
12/20/2018 12H,1
12/20/2018 13H,1
12/20/2018 14H,1
12/20/2018 15H,238
12/20/2018 16H,3306
12/20/2018 17H,5893
12/20/2018 18H,7119
12/20/2018 19H,7251
12/20/2018 20H,7205
12/20/2018 21H,7361
12/20/2018 22H,6551
12/20/2018 23H,4523
12/21/2018 00H,1238
12/21/2018 01H,961
12/21/2018 02H,3
12/21/2018 03H,3
12/21/2018 04H,3
12/21/2018 05H,3
12/21/2018 06H,4
12/21/2018 07H,4
12/21/2018 08H,4
12/21/2018 09H,4
12/21/2018 10H,4
12/21/2018 11H,4
12/21/2018 12H,4
12/21/2018 13H,4
12/21/2018 14H,4
12/21/2018 15H,-5
12/21/2018 16H,652
12/21/2018 17H,2706
12/21/2018 18H,3989
12/21/2018 19H,5150
12/21/2018 20H,5381
12/21/2018 21H,5537
12/21/2018 22H,5488
12/21/2018 23H,4205
12/22/2018 00H,1118
12/22/2018 01H,841
12/22/2018 02H,2
12/22/2018 03H,2
12/22/2018 04H,2
12/22/2018 05H,2
12/22/2018 06H,2
12/22/2018 07H,2
12/22/2018 08H,2
12/22/2018 09H,2
12/22/2018 10H,2
12/22/2018 11H,2
12/22/2018 12H,2
12/22/2018 13H,2
12/22/2018 14H,2
12/22/2018 15H,192
12/22/2018 16H,2846
12/22/2018 17H,4902
12/22/2018 18H,6852
12/22/2018 19H,7562
12/22/2018 20H,7344
12/22/2018 21H,7459
12/22/2018 22H,6859
12/22/2018 23H,5218
12/23/2018 00H,1226
12/23/2018 01H,917
12/23/2018 02H,3
12/23/2018 03H,3
12/23/2018 04H,3
12/23/2018 05H,4
12/23/2018 06H,4
12/23/2018 07H,4
12/23/2018 08H,4
12/23/2018 09H,4
12/23/2018 10H,3
12/23/2018 11H,3
12/23/2018 12H,3
12/23/2018 13H,3
12/23/2018 14H,3
12/23/2018 15H,198
12/23/2018 16H,2634
12/23/2018 17H,4319
12/23/2018 18H,5956
12/23/2018 19H,6080
12/23/2018 20H,6044
12/23/2018 21H,7126
12/23/2018 22H,5059
12/23/2018 23H,4406
12/24/2018 00H,1014
12/24/2018 01H,811
12/24/2018 02H,4
12/24/2018 03H,4
12/24/2018 04H,4
12/24/2018 05H,4
12/24/2018 06H,4
12/24/2018 07H,4
12/24/2018 08H,4
12/24/2018 09H,4
12/24/2018 10H,4
12/24/2018 11H,4
12/24/2018 12H,4
12/24/2018 13H,4
12/24/2018 14H,4
12/24/2018 15H,168
12/24/2018 16H,3224
12/24/2018 17H,6523
12/24/2018 18H,7711
12/24/2018 19H,7674
12/24/2018 20H,7202
12/24/2018 21H,7739
12/24/2018 22H,6981
12/24/2018 23H,5483
12/25/2018 00H,1310
12/25/2018 01H,1005
12/25/2018 02H,4
12/25/2018 03H,4
12/25/2018 04H,4
12/25/2018 05H,4
12/25/2018 06H,4
12/25/2018 07H,4
12/25/2018 08H,4
12/25/2018 09H,4
12/25/2018 10H,4
12/25/2018 11H,4
12/25/2018 12H,4
12/25/2018 13H,4
12/25/2018 14H,4
12/25/2018 15H,122
12/25/2018 16H,2590
12/25/2018 17H,5091
12/25/2018 18H,6479
12/25/2018 19H,6175
12/25/2018 20H,6971
12/25/2018 21H,6347
12/25/2018 22H,6440
12/25/2018 23H,4650
12/26/2018 00H,1496
12/26/2018 01H,1212
12/26/2018 02H,3
12/26/2018 03H,3
12/26/2018 04H,3
12/26/2018 05H,3
12/26/2018 06H,3
12/26/2018 07H,3
12/26/2018 08H,3
12/26/2018 09H,3
12/26/2018 10H,4
12/26/2018 11H,4
12/26/2018 12H,4
12/26/2018 13H,3
12/26/2018 14H,3
12/26/2018 15H,139
12/26/2018 16H,3748
12/26/2018 17H,7491
12/26/2018 18H,8327
12/26/2018 19H,8372
12/26/2018 20H,8154
12/26/2018 21H,8081
12/26/2018 22H,7898
12/26/2018 23H,5828
12/27/2018 00H,1744
12/27/2018 01H,1404
12/27/2018 02H,3
12/27/2018 03H,3
12/27/2018 04H,4
12/27/2018 05H,3
12/27/2018 06H,4
12/27/2018 07H,4
12/27/2018 08H,4
12/27/2018 09H,4
12/27/2018 10H,4
12/27/2018 11H,4
12/27/2018 12H,4
12/27/2018 13H,4
12/27/2018 14H,4
12/27/2018 15H,147
12/27/2018 16H,3204
12/27/2018 17H,6308
12/27/2018 18H,7307
12/27/2018 19H,7651
12/27/2018 20H,7831
12/27/2018 21H,7614
12/27/2018 22H,7237
12/27/2018 23H,4768
12/28/2018 00H,1183
12/28/2018 01H,909
12/28/2018 02H,3
12/28/2018 03H,3
12/28/2018 04H,3
12/28/2018 05H,3
12/28/2018 06H,4
12/28/2018 07H,3
12/28/2018 08H,3
12/28/2018 09H,3
12/28/2018 10H,3
12/28/2018 11H,4
12/28/2018 12H,3
12/28/2018 13H,3
12/28/2018 14H,4
12/28/2018 15H,154
12/28/2018 16H,3369
12/28/2018 17H,7299
12/28/2018 18H,8638
12/28/2018 19H,8456
12/28/2018 20H,8676
12/28/2018 21H,8678
12/28/2018 22H,8328
12/28/2018 23H,6752
12/29/2018 00H,2231
12/29/2018 01H,1846
12/29/2018 02H,4
12/29/2018 03H,4
12/29/2018 04H,4
12/29/2018 05H,4
12/29/2018 06H,4
12/29/2018 07H,4
12/29/2018 08H,4
12/29/2018 09H,4
12/29/2018 10H,4
12/29/2018 11H,4
12/29/2018 12H,4
12/29/2018 13H,4
12/29/2018 14H,4
12/29/2018 15H,157
12/29/2018 16H,3710
12/29/2018 17H,7704
12/29/2018 18H,8927
12/29/2018 19H,8915
12/29/2018 20H,8859
12/29/2018 21H,8933
12/29/2018 22H,8502
12/29/2018 23H,6929
12/30/2018 00H,2246
12/30/2018 01H,1903
12/30/2018 02H,3
12/30/2018 03H,3
12/30/2018 04H,3
12/30/2018 05H,3
12/30/2018 06H,3
12/30/2018 07H,3
12/30/2018 08H,3
12/30/2018 09H,3
12/30/2018 10H,3
12/30/2018 11H,3
12/30/2018 12H,3
12/30/2018 13H,3
12/30/2018 14H,3
12/30/2018 15H,164
12/30/2018 16H,3664
12/30/2018 17H,7509
12/30/2018 18H,8718
12/30/2018 19H,8578
12/30/2018 20H,8060
12/30/2018 21H,8395
12/30/2018 22H,8008
12/30/2018 23H,6293
12/31/2018 00H,2189
12/31/2018 01H,1880
12/31/2018 02H,3
12/31/2018 03H,3
12/31/2018 04H,3
12/31/2018 05H,3
12/31/2018 06H,3
12/31/2018 07H,3
12/31/2018 08H,3
12/31/2018 09H,3
12/31/2018 10H,3
12/31/2018 11H,3
12/31/2018 12H,3
12/31/2018 13H,3
12/31/2018 14H,3
12/31/2018 15H,164
12/31/2018 16H,1600
12/31/2018 17H,4473
12/31/2018 18H,4782
12/31/2018 19H,4680
12/31/2018 20H,5626
12/31/2018 21H,5598
12/31/2018 22H,5865
12/31/2018 23H,4978
01/1/2019 00H,1595
01/1/2019 01H,1260
01/1/2019 02H,4
01/1/2019 03H,4
01/1/2019 04H,4
01/1/2019 05H,4
01/1/2019 06H,4
01/1/2019 07H,4
01/1/2019 08H,4
01/1/2019 09H,4
01/1/2019 10H,4
01/1/2019 11H,3
01/1/2019 12H,3
01/1/2019 13H,3
01/1/2019 14H,3
01/1/2019 15H,168
01/1/2019 16H,3529
01/1/2019 17H,7568
01/1/2019 18H,8957
01/1/2019 19H,9012
01/1/2019 20H,8941
01/1/2019 21H,9047
01/1/2019 22H,8773
01/1/2019 23H,7075
01/2/2019 00H,2264
01/2/2019 01H,1873
01/2/2019 02H,4
01/2/2019 03H,4
01/2/2019 04H,4
01/2/2019 05H,5
01/2/2019 06H,5
01/2/2019 07H,5
01/2/2019 08H,4
01/2/2019 09H,6
01/2/2019 10H,5
01/2/2019 11H,5
01/2/2019 12H,5
01/2/2019 13H,4
01/2/2019 14H,5
01/2/2019 15H,150
01/2/2019 16H,3605
01/2/2019 17H,7680
01/2/2019 18H,8880
01/2/2019 19H,8865
01/2/2019 20H,8815
01/2/2019 21H,8961
01/2/2019 22H,8887
01/2/2019 23H,7321
01/3/2019 00H,2396
01/3/2019 01H,134
01/3/2019 02H,57
01/3/2019 03H,59
01/3/2019 04H,47
01/3/2019 05H,48
01/3/2019 06H,3
01/3/2019 07H,3
01/3/2019 08H,3
01/3/2019 09H,3
01/3/2019 10H,3
01/3/2019 11H,3
01/3/2019 12H,3
01/3/2019 13H,3
01/3/2019 14H,3
01/3/2019 15H,162
01/3/2019 16H,3644
01/3/2019 17H,7730
01/3/2019 18H,8851
01/3/2019 19H,8897
01/3/2019 20H,8847
01/3/2019 21H,8896
01/3/2019 22H,8715
01/3/2019 23H,7106
01/4/2019 00H,2446
01/4/2019 01H,259
01/4/2019 02H,206
01/4/2019 03H,61
01/4/2019 04H,49
01/4/2019 05H,4
01/4/2019 06H,4
01/4/2019 07H,4
01/4/2019 08H,4
01/4/2019 09H,4
01/4/2019 10H,4
01/4/2019 11H,4
01/4/2019 12H,4
01/4/2019 13H,4
01/4/2019 14H,4
01/4/2019 15H,154
01/4/2019 16H,3737
01/4/2019 17H,7790
01/4/2019 18H,8858
01/4/2019 19H,8887
01/4/2019 20H,8832
01/4/2019 21H,8956
01/4/2019 22H,8802
01/4/2019 23H,7240
01/5/2019 00H,2498
01/5/2019 01H,56
01/5/2019 02H,2
01/5/2019 03H,3
01/5/2019 04H,3
01/5/2019 05H,3
01/5/2019 06H,3
01/5/2019 07H,3
01/5/2019 08H,3
01/5/2019 09H,3
01/5/2019 10H,3
01/5/2019 11H,3
01/5/2019 12H,3
01/5/2019 13H,3
01/5/2019 14H,3
01/5/2019 15H,3
01/5/2019 16H,670
01/5/2019 17H,1337
01/5/2019 18H,2217
01/5/2019 19H,2504
01/5/2019 20H,2758
01/5/2019 21H,1735
01/5/2019 22H,1182
01/5/2019 23H,636
01/6/2019 00H,189
01/6/2019 01H,159
01/6/2019 02H,4
01/6/2019 03H,4
01/6/2019 04H,4
01/6/2019 05H,4
01/6/2019 06H,4
01/6/2019 07H,4
01/6/2019 08H,4
01/6/2019 09H,4
01/6/2019 10H,4
01/6/2019 11H,4
01/6/2019 12H,4
01/6/2019 13H,4
01/6/2019 14H,4
01/6/2019 15H,-7
01/6/2019 16H,2021
01/6/2019 17H,4274
01/6/2019 18H,6387
01/6/2019 19H,6487
01/6/2019 20H,5945
01/6/2019 21H,5775
01/6/2019 22H,6077
01/6/2019 23H,4901
01/7/2019 00H,1709
01/7/2019 01H,41
01/7/2019 02H,-5
01/7/2019 03H,5
01/7/2019 04H,5
01/7/2019 05H,4
01/7/2019 06H,4
01/7/2019 07H,4
01/7/2019 08H,5
01/7/2019 09H,5
01/7/2019 10H,5
01/7/2019 11H,5
01/7/2019 12H,5
01/7/2019 13H,5
01/7/2019 14H,5
01/7/2019 15H,69
01/7/2019 16H,1698
01/7/2019 17H,4175
01/7/2019 18H,5551
01/7/2019 19H,6869
01/7/2019 20H,7030
01/7/2019 21H,7352
01/7/2019 22H,7579
01/7/2019 23H,6150
01/8/2019 00H,2010
01/8/2019 01H,1743
01/8/2019 02H,3
01/8/2019 03H,3
01/8/2019 04H,3
01/8/2019 05H,3
01/8/2019 06H,3
01/8/2019 07H,4
01/8/2019 08H,3
01/8/2019 09H,4
01/8/2019 10H,3
01/8/2019 11H,3
01/8/2019 12H,3
01/8/2019 13H,4
01/8/2019 14H,4
01/8/2019 15H,137
01/8/2019 16H,2190
01/8/2019 17H,4596
01/8/2019 18H,6244
01/8/2019 19H,6706
01/8/2019 20H,6643
01/8/2019 21H,6429
01/8/2019 22H,5861
01/8/2019 23H,4128
01/9/2019 00H,1155
01/9/2019 01H,999
01/9/2019 02H,4
01/9/2019 03H,4
01/9/2019 04H,5
01/9/2019 05H,5
01/9/2019 06H,5
01/9/2019 07H,5
01/9/2019 08H,5
01/9/2019 09H,5
01/9/2019 10H,5
01/9/2019 11H,5
01/9/2019 12H,5
01/9/2019 13H,5
01/9/2019 14H,5
01/9/2019 15H,62
01/9/2019 16H,2667
01/9/2019 17H,5487
01/9/2019 18H,6590
01/9/2019 19H,6812
01/9/2019 20H,6836
01/9/2019 21H,6736
01/9/2019 22H,6312
01/9/2019 23H,4261
01/10/2019 00H,1522
01/10/2019 01H,1203
01/10/2019 02H,4
01/10/2019 03H,4
01/10/2019 04H,4
01/10/2019 05H,4
01/10/2019 06H,4
01/10/2019 07H,4
01/10/2019 08H,5
01/10/2019 09H,4
01/10/2019 10H,4
01/10/2019 11H,5
01/10/2019 12H,5
01/10/2019 13H,5
01/10/2019 14H,5
01/10/2019 15H,36
01/10/2019 16H,2800
01/10/2019 17H,5960
01/10/2019 18H,7474
01/10/2019 19H,7743
01/10/2019 20H,8104
01/10/2019 21H,8333
01/10/2019 22H,8080
01/10/2019 23H,6562
01/11/2019 00H,2435
01/11/2019 01H,66
01/11/2019 02H,1
01/11/2019 03H,3
01/11/2019 04H,3
01/11/2019 05H,4
01/11/2019 06H,3
01/11/2019 07H,4
01/11/2019 08H,4
01/11/2019 09H,5
01/11/2019 10H,6
01/11/2019 11H,6
01/11/2019 12H,7
01/11/2019 13H,6
01/11/2019 14H,7
01/11/2019 15H,135
01/11/2019 16H,1937
01/11/2019 17H,4384
01/11/2019 18H,5932
01/11/2019 19H,6583
01/11/2019 20H,6454
01/11/2019 21H,6104
01/11/2019 22H,4902
01/11/2019 23H,3753
01/12/2019 00H,1954
01/12/2019 01H,1777
01/12/2019 02H,6
01/12/2019 03H,6
01/12/2019 04H,4
01/12/2019 05H,5
01/12/2019 06H,5
01/12/2019 07H,4
01/12/2019 08H,5
01/12/2019 09H,5
01/12/2019 10H,4
01/12/2019 11H,4
01/12/2019 12H,5
01/12/2019 13H,5
01/12/2019 14H,5
01/12/2019 15H,49
01/12/2019 16H,898
01/12/2019 17H,2482
01/12/2019 18H,4675
01/12/2019 19H,4560
01/12/2019 20H,5333
01/12/2019 21H,4343
01/12/2019 22H,4195
01/12/2019 23H,3217
01/13/2019 00H,1077
01/13/2019 01H,66
01/13/2019 02H,32
01/13/2019 03H,32
01/13/2019 04H,5
01/13/2019 05H,5
01/13/2019 06H,5
01/13/2019 07H,5
01/13/2019 08H,5
01/13/2019 09H,5
01/13/2019 10H,5
01/13/2019 11H,5
01/13/2019 12H,5
01/13/2019 13H,5
01/13/2019 14H,4
01/13/2019 15H,121
01/13/2019 16H,3310
01/13/2019 17H,7112
01/13/2019 18H,7914
01/13/2019 19H,7940
01/13/2019 20H,7250
01/13/2019 21H,7126
01/13/2019 22H,6045
01/13/2019 23H,4141
01/14/2019 00H,1304
01/14/2019 01H,159
01/14/2019 02H,119
01/14/2019 03H,5
01/14/2019 04H,5
01/14/2019 05H,5
01/14/2019 06H,5
01/14/2019 07H,4
01/14/2019 08H,4
01/14/2019 09H,4
01/14/2019 10H,4
01/14/2019 11H,4
01/14/2019 12H,4
01/14/2019 13H,4
01/14/2019 14H,4
01/14/2019 15H,31
01/14/2019 16H,904
01/14/2019 17H,1876
01/14/2019 18H,2155
01/14/2019 19H,2404
01/14/2019 20H,2042
01/14/2019 21H,1793
01/14/2019 22H,1279
01/14/2019 23H,1003
01/15/2019 00H,320
01/15/2019 01H,267
01/15/2019 02H,4
01/15/2019 03H,4
01/15/2019 04H,5
01/15/2019 05H,5
01/15/2019 06H,4
01/15/2019 07H,3
01/15/2019 08H,3
01/15/2019 09H,3
01/15/2019 10H,3
01/15/2019 11H,3
01/15/2019 12H,3
01/15/2019 13H,3
01/15/2019 14H,3
01/15/2019 15H,30
01/15/2019 16H,372
01/15/2019 17H,981
01/15/2019 18H,1746
01/15/2019 19H,1736
01/15/2019 20H,2160
01/15/2019 21H,2556
01/15/2019 22H,2355
01/15/2019 23H,1604
01/16/2019 00H,729
01/16/2019 01H,687
01/16/2019 02H,4
01/16/2019 03H,5
01/16/2019 04H,4
01/16/2019 05H,4
01/16/2019 06H,3
01/16/2019 07H,3
01/16/2019 08H,4
01/16/2019 09H,4
01/16/2019 10H,4
01/16/2019 11H,3
01/16/2019 12H,3
01/16/2019 13H,3
01/16/2019 14H,4
01/16/2019 15H,50
01/16/2019 16H,1899
01/16/2019 17H,3540
01/16/2019 18H,4602
01/16/2019 19H,5011
01/16/2019 20H,5109
01/16/2019 21H,4732
01/16/2019 22H,4305
01/16/2019 23H,3032
01/17/2019 00H,1017
01/17/2019 01H,892
01/17/2019 02H,3
01/17/2019 03H,4
01/17/2019 04H,4
01/17/2019 05H,4
01/17/2019 06H,4
01/17/2019 07H,4
01/17/2019 08H,4
01/17/2019 09H,4
01/17/2019 10H,4
01/17/2019 11H,4
01/17/2019 12H,4
01/17/2019 13H,4
01/17/2019 14H,5
01/17/2019 15H,120
01/17/2019 16H,803
01/17/2019 17H,1980
01/17/2019 18H,3068
01/17/2019 19H,2820
01/17/2019 20H,2909
01/17/2019 21H,2778
01/17/2019 22H,2194
01/17/2019 23H,1119
01/18/2019 00H,699
01/18/2019 01H,631
01/18/2019 02H,4
01/18/2019 03H,4
01/18/2019 04H,4
01/18/2019 05H,4
01/18/2019 06H,4
01/18/2019 07H,5
01/18/2019 08H,5
01/18/2019 09H,5
01/18/2019 10H,5
01/18/2019 11H,5
01/18/2019 12H,5
01/18/2019 13H,5
01/18/2019 14H,5
01/18/2019 15H,131
01/18/2019 16H,3082
01/18/2019 17H,5351
01/18/2019 18H,6127
01/18/2019 19H,7444
01/18/2019 20H,7664
01/18/2019 21H,7579
01/18/2019 22H,7265
01/18/2019 23H,6657
01/19/2019 00H,2759
01/19/2019 01H,159
01/19/2019 02H,13
01/19/2019 03H,13
01/19/2019 04H,3
01/19/2019 05H,4
01/19/2019 06H,3
01/19/2019 07H,4
01/19/2019 08H,3
01/19/2019 09H,3
01/19/2019 10H,3
01/19/2019 11H,3
01/19/2019 12H,4
01/19/2019 13H,4
01/19/2019 14H,4
01/19/2019 15H,163
01/19/2019 16H,3016
01/19/2019 17H,6904
01/19/2019 18H,8260
01/19/2019 19H,8776
01/19/2019 20H,8952
01/19/2019 21H,8770
01/19/2019 22H,8916
01/19/2019 23H,7592
01/20/2019 00H,3341
01/20/2019 01H,338
01/20/2019 02H,231
01/20/2019 03H,5
01/20/2019 04H,5
01/20/2019 05H,5
01/20/2019 06H,5
01/20/2019 07H,5
01/20/2019 08H,5
01/20/2019 09H,5
01/20/2019 10H,5
01/20/2019 11H,5
01/20/2019 12H,5
01/20/2019 13H,5
01/20/2019 14H,5
01/20/2019 15H,191
01/20/2019 16H,2287
01/20/2019 17H,4183
01/20/2019 18H,5326
01/20/2019 19H,6303
01/20/2019 20H,6813
01/20/2019 21H,6907
01/20/2019 22H,4459
01/20/2019 23H,3361
01/21/2019 00H,1829
01/21/2019 01H,1637
01/21/2019 02H,5
01/21/2019 03H,5
01/21/2019 04H,5
01/21/2019 05H,5
01/21/2019 06H,5
01/21/2019 07H,5
01/21/2019 08H,5
01/21/2019 09H,5
01/21/2019 10H,5
01/21/2019 11H,5
01/21/2019 12H,5
01/21/2019 13H,5
01/21/2019 14H,5
01/21/2019 15H,67
01/21/2019 16H,2841
01/21/2019 17H,6944
01/21/2019 18H,7632
01/21/2019 19H,8708
01/21/2019 20H,8255
01/21/2019 21H,7916
01/21/2019 22H,7410
01/21/2019 23H,6661
01/22/2019 00H,3404
01/22/2019 01H,301
01/22/2019 02H,203
01/22/2019 03H,5
01/22/2019 04H,5
01/22/2019 05H,5
01/22/2019 06H,5
01/22/2019 07H,5
01/22/2019 08H,5
01/22/2019 09H,5
01/22/2019 10H,5
01/22/2019 11H,5
01/22/2019 12H,5
01/22/2019 13H,5
01/22/2019 14H,5
01/22/2019 15H,204
01/22/2019 16H,4028
01/22/2019 17H,7794
01/22/2019 18H,8694
01/22/2019 19H,8608
01/22/2019 20H,8541
01/22/2019 21H,8871
01/22/2019 22H,8446
01/22/2019 23H,7953
01/23/2019 00H,4444
01/23/2019 01H,229
01/23/2019 02H,130
01/23/2019 03H,5
01/23/2019 04H,5
01/23/2019 05H,5
01/23/2019 06H,5
01/23/2019 07H,5
01/23/2019 08H,5
01/23/2019 09H,5
01/23/2019 10H,5
01/23/2019 11H,5
01/23/2019 12H,5
01/23/2019 13H,5
01/23/2019 14H,5
01/23/2019 15H,230
01/23/2019 16H,3833
01/23/2019 17H,7948
01/23/2019 18H,9272
01/23/2019 19H,9286
01/23/2019 20H,9542
01/23/2019 21H,9608
01/23/2019 22H,9152
01/23/2019 23H,7740
01/24/2019 00H,4510
01/24/2019 01H,371
01/24/2019 02H,213
01/24/2019 03H,4
01/24/2019 04H,4
01/24/2019 05H,4
01/24/2019 06H,4
01/24/2019 07H,4
01/24/2019 08H,4
01/24/2019 09H,4
01/24/2019 10H,4
01/24/2019 11H,4
01/24/2019 12H,4
01/24/2019 13H,4
01/24/2019 14H,4
01/24/2019 15H,273
01/24/2019 16H,4025
01/24/2019 17H,8153
01/24/2019 18H,9449
01/24/2019 19H,9300
01/24/2019 20H,9519
01/24/2019 21H,9428
01/24/2019 22H,9226
01/24/2019 23H,8058
01/25/2019 00H,4356
01/25/2019 01H,466
01/25/2019 02H,318
01/25/2019 03H,5
01/25/2019 04H,5
01/25/2019 05H,5
01/25/2019 06H,5
01/25/2019 07H,5
01/25/2019 08H,5
01/25/2019 09H,5
01/25/2019 10H,5
01/25/2019 11H,5
01/25/2019 12H,5
01/25/2019 13H,5
01/25/2019 14H,5
01/25/2019 15H,418
01/25/2019 16H,4228
01/25/2019 17H,7941
01/25/2019 18H,8831
01/25/2019 19H,8941
01/25/2019 20H,9121
01/25/2019 21H,9034
01/25/2019 22H,9144
01/25/2019 23H,8619
01/26/2019 00H,4630
01/26/2019 01H,477
01/26/2019 02H,128
01/26/2019 03H,127
01/26/2019 04H,4
01/26/2019 05H,4
01/26/2019 06H,4
01/26/2019 07H,4
01/26/2019 08H,4
01/26/2019 09H,4
01/26/2019 10H,4
01/26/2019 11H,4
01/26/2019 12H,4
01/26/2019 13H,4
01/26/2019 14H,4
01/26/2019 15H,269
01/26/2019 16H,4085
01/26/2019 17H,8086
01/26/2019 18H,9192
01/26/2019 19H,9395
01/26/2019 20H,9185
01/26/2019 21H,9200
01/26/2019 22H,8562
01/26/2019 23H,7245
01/27/2019 00H,3393
01/27/2019 01H,209
01/27/2019 02H,75
01/27/2019 03H,5
01/27/2019 04H,5
01/27/2019 05H,5
01/27/2019 06H,5
01/27/2019 07H,5
01/27/2019 08H,5
01/27/2019 09H,5
01/27/2019 10H,5
01/27/2019 11H,5
01/27/2019 12H,5
01/27/2019 13H,5
01/27/2019 14H,5
01/27/2019 15H,169
01/27/2019 16H,2979
01/27/2019 17H,6357
01/27/2019 18H,8218
01/27/2019 19H,9221
01/27/2019 20H,9399
01/27/2019 21H,9361
01/27/2019 22H,9208
01/27/2019 23H,7866
01/28/2019 00H,4380
01/28/2019 01H,356
01/28/2019 02H,195
01/28/2019 03H,5
01/28/2019 04H,5
01/28/2019 05H,5
01/28/2019 06H,5
01/28/2019 07H,5
01/28/2019 08H,5
01/28/2019 09H,5
01/28/2019 10H,5
01/28/2019 11H,5
01/28/2019 12H,5
01/28/2019 13H,5
01/28/2019 14H,5
01/28/2019 15H,252
01/28/2019 16H,3123
01/28/2019 17H,5052
01/28/2019 18H,6279
01/28/2019 19H,6685
01/28/2019 20H,7009
01/28/2019 21H,7157
01/28/2019 22H,6041
01/28/2019 23H,3931
01/29/2019 00H,1309
01/29/2019 01H,91
01/29/2019 02H,24
01/29/2019 03H,5
01/29/2019 04H,5
01/29/2019 05H,5
01/29/2019 06H,5
01/29/2019 07H,5
01/29/2019 08H,5
01/29/2019 09H,5
01/29/2019 10H,5
01/29/2019 11H,5
01/29/2019 12H,5
01/29/2019 13H,5
01/29/2019 14H,5
01/29/2019 15H,57
01/29/2019 16H,1634
01/29/2019 17H,4126
01/29/2019 18H,6017
01/29/2019 19H,6279
01/29/2019 20H,6571
01/29/2019 21H,5349
01/29/2019 22H,4567
01/29/2019 23H,3730
01/30/2019 00H,1862
01/30/2019 01H,318
01/30/2019 02H,229
01/30/2019 03H,4
01/30/2019 04H,4
01/30/2019 05H,4
01/30/2019 06H,4
01/30/2019 07H,4
01/30/2019 08H,4
01/30/2019 09H,4
01/30/2019 10H,4
01/30/2019 11H,4
01/30/2019 12H,4
01/30/2019 13H,4
01/30/2019 14H,4
01/30/2019 15H,167
01/30/2019 16H,2068
01/30/2019 17H,4844
01/30/2019 18H,6129
01/30/2019 19H,7397
01/30/2019 20H,8598
01/30/2019 21H,8477
01/30/2019 22H,7676
01/30/2019 23H,6498
01/31/2019 00H,3668
01/31/2019 01H,367
01/31/2019 02H,179
01/31/2019 03H,5
01/31/2019 04H,5
01/31/2019 05H,5
01/31/2019 06H,5
01/31/2019 07H,5
01/31/2019 08H,5
01/31/2019 09H,5
01/31/2019 10H,5
01/31/2019 11H,5
01/31/2019 12H,5
01/31/2019 13H,5
01/31/2019 14H,5
01/31/2019 15H,195
01/31/2019 16H,1410
01/31/2019 17H,3185
01/31/2019 18H,4327
01/31/2019 19H,6029
01/31/2019 20H,5498
01/31/2019 21H,5411
01/31/2019 22H,5970
01/31/2019 23H,5187
02/1/2019 00H,3081
02/1/2019 01H,193
02/1/2019 02H,109
02/1/2019 03H,5
02/1/2019 04H,5
02/1/2019 05H,5
02/1/2019 06H,5
02/1/2019 07H,5
02/1/2019 08H,5
02/1/2019 09H,5
02/1/2019 10H,5
02/1/2019 11H,5
02/1/2019 12H,5
02/1/2019 13H,5
02/1/2019 14H,5
02/1/2019 15H,313
02/1/2019 16H,3552
02/1/2019 17H,6099
02/1/2019 18H,6908
02/1/2019 19H,6430
02/1/2019 20H,6802
02/1/2019 21H,6463
02/1/2019 22H,5999
02/1/2019 23H,3899
02/2/2019 00H,1530
02/2/2019 01H,219
02/2/2019 02H,133
02/2/2019 03H,5
02/2/2019 04H,5
02/2/2019 05H,5
02/2/2019 06H,5
02/2/2019 07H,5
02/2/2019 08H,5
02/2/2019 09H,5
02/2/2019 10H,5
02/2/2019 11H,5
02/2/2019 12H,5
02/2/2019 13H,5
02/2/2019 14H,5
02/2/2019 15H,46
02/2/2019 16H,1039
02/2/2019 17H,2130
02/2/2019 18H,3214
02/2/2019 19H,4541
02/2/2019 20H,3041
02/2/2019 21H,3430
02/2/2019 22H,3422
02/2/2019 23H,3249
02/3/2019 00H,1857
02/3/2019 01H,151
02/3/2019 02H,111
02/3/2019 03H,4
02/3/2019 04H,4
02/3/2019 05H,4
02/3/2019 06H,4
02/3/2019 07H,4
02/3/2019 08H,4
02/3/2019 09H,4
02/3/2019 10H,4
02/3/2019 11H,4
02/3/2019 12H,4
02/3/2019 13H,4
02/3/2019 14H,4
02/3/2019 15H,301
02/3/2019 16H,3149
